SIGURANȚĂ ȘI ORDINE PUBLICĂ,2020,2019,2018,2017,2016,2015
Număr de accidente - MAI,47,83,79,93,105,
Număr de persoane decedate în accidente - MAI,5,11,13,10,12,
Număr de persoane rănite grav în accidente  - MAI,42,74,69,85,99,
Număr de persoante rănite ușor în accidente  - MAI,8,12,16,28,44,
Număr de infracțiuni - Omor - urban,3,4,3,1,0,
Număr de infracțiuni - Omor - rural,3,4,4,0,0,
Număr de infracțiuni - Lovire sau alte violențe - urban,1104,1466,1475,1378,135,
Număr de infracțiuni - Lovire sau alte violențe - rural,760,945,950,858,63,
Număr de infracțiuni - Furt - total - urban,3169,4087,4376,4635,478,
Număr de infracțiuni - Furt - total - rural,822,968,1104,1235,117,
Număr de infracțiuni - Furt din locuințe - urban,238,535,433,485,52,
Număr de infracțiuni - Furt din locuințe - rural,176,289,286,321,34,
Număr de infracțiuni - Furt din S.C - urban,574,658,697,802,88,
Număr de infracțiuni - Furt din S.C - rural,98,94,133,164,16,
Număr de infracțiuni - Furt din auto - urban,577,647,821,812,105,
Număr de infracțiuni - Furt din auto - rural,70,87,96,99,7,
Număr de infracțiuni - Tâlhărie - urban,26,47,60,62,9,
Număr de infracțiuni - Tâlhărie - rural,6,9,15,10,0,
Număr de infracțiuni - Distrugere - urban,690,915,892,989,94,
Număr de infracțiuni - Distrugere - rural,457,367,412,437,36,
Număr de infracțiuni - Cerșetorie - urban,0,0,0,2,0,
Număr de infracțiuni - Cerșetorie - rural,0,0,1,0,0,
Număr de infracțiuni -Prostituție - urban,0,0,0,0,0,
Număr de infracțiuni -Prostituție - rural,0,0,0,0,0,
Număr de infracțiuni -Viol - urban,25,23,21,34,25,
Număr de infracțiuni -Viol - rural,13,22,16,22,21,
Asistenta medicala de urgenta,187,229,206,205,182,163
Număr accidente rutier/feroviar cu persoane incarcerate,7271,8807,9050,7707,7650,6793
Număr persoane decedate in accidente de circulatie,9,13,10,9,21,9
Număr persoane ranite in accidente de circulatie,1,1,4,4,2,4
Asistenta persoane,173,214,220,242,253,242
Număr Inundatii,327,245,173,170,244,193
Număr fenomene meteo periculoase,25,6,30,7,123,19
Număr accidente pe caile de transport in care sunt implicate substante periculoase,,0,0,0,0,0
Asigurare masuri specifice evenimente publice,0,0,0,0,0,0
Număr exlozii urmate/neurmate de incendiu,38,210,196,263,298,213
Alte situatii de urgenta,0,1,0,1,0,0
"Ventilare incaperi, spalarea sau sablarea cailor publice",16,18,5,22,16,22
Diluare sau neutralizare substante periculoase,27,38,36,53,39,27
Ridicarea de deseuri toxice,0,,0,0,0,0
Număr incendii vegetatie uscata,0,0,2,0,1,0
Număr actiuni pentru protectia comunitatilor,159,183,134,0,0,0
Asanare/distrugere munitie,1980,720,631,1037,559,281
Număr salvari de animale,10,10,5,0,0,6
Număr misiuni de sprijin,26,29,18,18,11,9
"Număr solicitari intervenite de la sine, de catre cetateni",0,0,0,0,0,0
Număr recunoasteri si informari preventive,1,2,3,4,10,0
Exercitii,310,265,210,273,115,111
GI a fost intoarsa din drum,8,34,34,24,21,18
Deplasare fara interventie,24,25,32,33,11,18
Număr alarme false,257,222,294,203,113,48
Valoare pagube provocate de incendii in lei,73,54,39,41,55,63
Controale,1400,1141,972,967,2405,1502
Deficiente constatate,1322,1992,1728,2821,4787,
Deficiente solutionate,352,258,212,267,481,
Numar autorizatii emise,194,193,150,114,141,
Numar autorizatii respinse,50,58,120,106,128,
"Numar cereri pentru emiterea avizelor/autorizatiilor de securitate la incendiu, acordurilor",2088,2766,3129,2397,788,
Asistenta tehnica pe segmentul avizare/autorizare,161,92,356,419,0,
Articole in presa,39,58,109,42,42,
Emisiuni radio/tv,16,28,102,34,55,
Brosuri/afise/pliante,1995,3401,6768,5635,11750,
Instruiri,1079,711,529,795,2365,
